iter	Passed	Remaining
712	2477	997
713	2480	993
714	2483	989
715	2486	986
716	2489	982
717	2492	978
718	2495	975
719	2497	971
720	2500	967
721	2503	963
722	2507	960
723	2509	956
724	2512	953
725	2515	949
726	2517	945
727	2521	942
728	2524	938
729	2526	934
730	2529	930
731	2532	927
732	2535	923
733	2540	920
734	2543	916
735	2545	913
736	2549	909
737	2551	905
738	2556	902
739	2559	899
740	2561	895
741	2564	891
742	2567	888
743	2570	884
744	2573	880
745	2576	877
746	2579	873
747	2582	869
748	2586	866
749	2589	863
750	2591	859
751	2594	855
752	2597	852
753	2600	848
754	2604	845
755	2606	841
756	2609	837
757	2612	834
758	2615	830
759	2619	827
760	2621	823
761	2624	819
762	2627	816
763	2630	812
764	2634	809
765	2637	805
766	2639	801
767	2642	798
768	2645	794
769	2649	791
770	2652	787
771	2655	784
772	2658	780
773	2661	777
774	2665	773
775	2668	770
776	2671	766
777	2673	762
778	2676	759
779	2679	755
780	2683	752
781	2686	748
782	2688	745
783	2691	741
784	2694	737
785	2698	734
786	2701	731
787	2704	727
788	2706	723
789	2709	720
790	2713	716
791	2716	713
792	2719	709
793	2722	706
794	2724	702
795	2727	699
796	2749	700
797	2751	696
798	2754	692
799	2756	689
800	2759	685
801	2763	682
802	2766	678
803	2769	675
804	2771	671
805	2774	667
806	2778	664
807	2781	660
808	2783	657
809	2786	653
810	2789	650
811	2792	646
812	2795	643
813	2798	639
814	2801	635
815	2804	632
816	2807	628
817	2810	625
818	2813	621
819	2816	618
820	2819	614
821	2822	611
822	2826	607
823	2829	604
824	2831	600
825	2835	597
826	2837	593
827	2841	590
828	2844	586
829	2847	583
830	2849	579
831	2852	575
832	2856	572
833	2859	569
834	2862	565
835	2865	562
836	2868	558
837	2870	554
838	2874	551
839	2877	548
840	2880	544
841	2882	540
842	2885	537
843	2889	533
844	2892	530
845	2895	527
846	2898	523
847	2900	519
848	2903	516
849	2907	513
850	2910	509
851	2913	506
852	2916	502
853	2918	499
854	2922	495
855	2926	492
856	2929	488
857	2932	485
858	2934	481
859	2937	478
860	2940	474
861	2943	471
862	2946	467
863	2949	464
864	2952	460
865	2957	457
866	2960	454
867	2963	450
868	2965	447
869	2969	443
870	2973	440
871	2976	436
872	2978	433
873	2981	429
874	2984	426
875	2988	422
876	2991	419
877	2993	415
878	2996	412
879	2999	408
880	3002	405
881	3005	402
882	3008	398
883	3011	395
884	3013	391
885	3018	388
886	3021	384
887	3024	381
888	3026	377
889	3029	374
890	3032	370
891	3035	367
892	3038	364
893	3041	360
894	3043	357
895	3046	353
896	3050	350
897	3053	346
898	3056	343
899	3058	339
900	3061	336
901	3064	332
902	3067	329
903	3070	326
904	3073	322
905	3076	319
906	3079	315
907	3084	312
908	3087	309
909	3091	305
910	3094	302
911	3099	299
912	3103	295
913	3107	292
914	3111	289
915	3116	285
916	3120	282
917	3124	279
918	3129	275
919	3134	272
920	3137	269
921	3141	265
922	3148	262
923	3152	259
924	3156	255
925	3163	252
926	3166	249
927	3169	245
928	3172	242
929	3175	238
930	3178	235
931	3181	232
932	3184	228
933	3187	225
934	3190	221
935	3193	218
936	3196	214
937	3199	211
938	3202	208
939	3205	204
940	3209	201
941	3212	197
942	3215	194
943	3217	190
944	3220	187
945	3223	184
946	3227	180
947	3230	177
948	3233	173
949	3235	170
950	3239	166
951	3243	163
952	3245	160
953	3248	156
954	3251	153
955	3254	149
956	3258	146
957	3261	142
958	3263	139
959	3266	136
960	3269	132
961	3273	129
962	3276	125
963	3278	122
964	3281	119
965	3284	115
966	3287	112
967	3290	108
968	3293	105
969	3296	101
970	3299	98
971	3302	95
972	3306	91
973	3309	88
974	3311	84
975	3314	81
976	3317	78
977	3319	74
978	3323	71
979	3326	67
980	3328	64
981	3331	61
982	3334	57
983	3338	54
984	3341	50
985	3344	47
986	3347	44
987	3349	40
988	3354	37
989	3357	33
990	3360	30
991	3362	27
992	3365	23
993	3369	20
994	3373	16
995	3376	13
996	3379	10
997	3381	6
998	3385	3
999	3388	0
